,Customer_ID,Age,Location,Profession,Premium_Amount,Dependents,Product,Gender,is_insured_earlier,Organization
0,C_101,54,Delhi,DevOps Engineer,4609.450424,1,Homeowners Insurance,Male,0,HCL Technologies
1,C_102,55,Ahmedabad,QA Engineer,99271.94794,5,Health Insurance,Female,0,Accenture India
2,C_103,43,Mumbai,IT Project Manager,52388.1299,6,Renters Insurance,Male,1,Wipro
3,C_104,57,Indore,DevOps Engineer,87707.54618,2,Life Insurance,Male,1,Aricent
4,C_105,58,Bengaluru,Web Developer,99041.3176,7,Disability Insurance,Male,1,Infosys
5,C_106,42,Pune,IT Consultant,2302.782083,6,Health Insurance,Male,1,Lionbridge Technologies
6,C_107,34,Pune,Machine Learning Engineer,40547.35526,6,Health Insurance,Male,0,Mindtree
7,C_108,53,Kolkata,Network Engineer,96641.75129,7,Disability Insurance,Male,0,Aricent
8,C_109,55,Chennai,System Analyst,1759.198707,0,Critical Illness Insurance,Male,0,Birlasoft
9,C_110,49,Pune,Data Scientist,22622.3628,4,Health Insurance,Male,0,HCL Technologies
10,C_111,50,Kolkata,Security Analyst,6993.539994,1,Homeowners Insurance,Male,0,KPIT Technologies
11,C_112,30,Bengaluru,Cybersecurity Specialist,41746.76676,4,Travel Insurance,Female,0,TCS
12,C_113,58,Delhi,Network Architect,90224.45222,3,Long-Term Care Insurance,Male,1,Aricent
13,C_114,59,Pune,System Analyst,94271.49507,0,Travel Insurance,Male,1,KPIT Technologies
14,C_115,49,Mumbai,Cybersecurity Specialist,31495.02079,7,Life Insurance,Male,0,Oracle Financial Services Software
15,C_116,43,Indore,Data Scientist,9189.071272,5,Auto Insurance,Female,0,Persistent Systems
16,C_117,49,Kolkata,Systems Administrator,5949.695934,5,Homeowners Insurance,Female,0,Mindtree
17,C_118,42,Noida,UI/UX Designer,9018.177664,5,Critical Illness Insurance,Male,0,Mphasis
18,C_119,33,Pune,Network Engineer,85804.33576,7,Health Insurance,Male,0,Accenture India
19,C_120,51,Bengaluru,IT Consultant,17902.91941,3,Renters Insurance,Male,0,Capgemini India
20,C_121,53,Hyderabad,IT Consultant,75732.11121,7,Travel Insurance,Female,1,Tata Elxsi
21,C_122,34,Delhi,UI/UX Designer,57587.12952,1,Life Insurance,Male,0,Infosys
22,C_123,38,Noida,Database Administrator,43787.46664,6,Homeowners Insurance,Female,0,QuEST Global
